Gris ID;Sår ID;Tid;Niveau sårvæv;Sårskorpe;Granulationsvæv;Epithelialisering;Kontraktion;Hyperæmi;Ødem;Eksudat;Eksudattype;Infektionsniveau;;;;;;;;
21;B;12;3;2;2;2;1;0;0;0;0;2;;;;;;;;
21;C;12;3;2;2;2;1;0;0;0;0;2;;;;;;;;
21;D;12;3;2;2;2;1;0;0;0;0;1;;;;;;;;
21;A;13;3;100;2;1;1;0;0;0;0;2;;;;;;;;
21;B;13;2;2;1;1;1;0;0;0;0;1;;;;;;;;
21;C;13;3;2;2;1;1;0;0;0;0;1;;;;;;;;
21;D;13;2;0;1;1;1;0;0;0;0;1;;;;;;;;
21;A;14;3;2;2;1;1;0;0;0;0;2;;;;;;;;
21;B;14;3;2;2;1;1;0;0;0;0;1;;;;;;;;
21;C;14;3;2;2;1;1;0;0;0;0;1;;;;;;;;
21;D;14;3;2;2;1;1;0;0;0;0;1;;;;;;;;
21;A;15;2;2;2;1;1;0;0;0;0;2;;;;;;;;
21;D;15;2;2;2;1;1;0;0;0;0;1;;;;;;;;
21;A;16;2;2;2;1;1;0;0;0;0;1;;;;;;;;
21;D;16;2;2;2;1;1;0;0;0;0;1;;;;;;;;
21;A;17;2;2;2;1;1;0;0;0;0;1;;;;;;;;
21;D;17;2;2;2;1;1;0;0;0;0;1;;;;;;;;
21;A;18;2;2;2;1;1;0;0;0;0;2;;;;;;;;
21;D;18;3;2;2;1;1;0;0;0;0;1;;;;;;;;
21;A;19;2;2;2;1;1;0;0;0;0;2;;;;;;;;
21;D;19;3;2;1;1;1;0;0;0;0;1;;;;;;;;
21;A;20;2;2;1;1;1;0;0;0;0;1;;;;;;;;
21;D;20;2;2;1;1;1;0;0;0;0;1;;;;;;;;
21;A;21;2;2;1;1;1;0;0;0;0;1;;;;;;;;
21;D;21;2;2;1;1;1;0;0;0;0;1;;;;;;;;
21;A;22;2;1;1;1;1;0;0;0;0;1;;;;;;;;
21;D;22;3;1;1;1;1;0;0;0;0;1;;;;;;;;
21;A;23;2;1;1;1;1;0;0;0;0;1;;;;;;;;
21;D;23;2;2;1;1;1;0;0;0;0;1;;;;;;;;
21;A;24;2;1;1;1;1;0;0;0;0;1;;;;;;;;
